,id,Apt_id,url,Address,Beds,Bath,Price,BedArea,Availablefrom,Availabletill,Description
760,760,2828,https://junehomes.com/residences/boston-ma/fort-hill/990-fort-hill/2828,fort-hill/990-fort-hill/2828,4,2,1625,169,2023-06-30,2023-08-31,"This 169 square footage room on Boston's Fort Hill is a spacious, well-kept and comfortable room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
761,761,2777,https://junehomes.com/residences/boston-ma/jfk/977-jfkumass/2777,jfk/977-jfkumass/2777,5,2,1650,103,2023-09-01,2023-03-22,"This 103 square footage room on Boston's JFK/UMass is a spacious, well-kept and appealing room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
762,762,956,https://junehomes.com/residences/boston-ma/brighton/368-brighton/956,brighton/368-brighton/956,4,2,1650,150,2023-05-01,2023-07-05,"This good-looking, spacious and appealing room is available."
763,763,1598,https://junehomes.com/residences/boston-ma/allston/584-allston/1598,allston/584-allston/1598,4,1,1700,166,2023-05-31,2023-09-19,"This 166 square footage room on Boston's Allston is a clean, spacious and glossy room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
764,764,1461,https://junehomes.com/residences/boston-ma/allston/535-allston/1461,allston/535-allston/1461,4,2,1650,143,2023-01-27,2023-06-20,"This 143 square footage room on Boston's Allston is a good-looking, spacious and appealing room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
765,765,3475,https://junehomes.com/residences/boston-ma/jfk/1213-savin-hill/3475,jfk/1213-savin-hill/3475,2,1,1650,107,2023-06-30,2023-06-04,"This bright, sunny and shine room is available."
766,766,2004,https://junehomes.com/residences/boston-ma/allston/728-allston/2004,allston/728-allston/2004,3,1,1650,146,2023-03-01,2023-12-31,"This 146 square footage room on Boston's Allston is a clean, spacious and pretty room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
767,767,1206,https://junehomes.com/residences/boston-ma/mission-hill/429-mission-hill/1206,mission-hill/429-mission-hill/1206,3,1,1625,198,2023-09-01,2023-07-01,"This good-looking, spacious and neat room is available."
768,768,2656,https://junehomes.com/residences/boston-ma/brighton/941-brighton/2656,brighton/941-brighton/2656,4,2,1625,162,2023-05-28,2023-07-15,"This 162 square footage room on Boston's spaciouson is a clean, shiny and spacious room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
769,769,1879,https://junehomes.com/residences/boston-ma/allston/680-allston/1879,allston/680-allston/1879,5,2,1650,132,2023-09-01,2023-09-30,"This 132 square footage room on Boston's Allston is a cute, spacious and clean room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
770,770,3999,https://junehomes.com/residences/boston-ma/somerville/1379-somerville/3999,somerville/1379-somerville/3999,6,2,1650,152,2023-08-01,2023-04-04,"This 152 square footage room on Boston's Somerville is a functional, spacious and comfortable room in a 6-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
771,771,2600,https://junehomes.com/residences/boston-ma/brighton/928-brighton/2600,brighton/928-brighton/2600,5,3,1625,127,2023-02-20,2023-07-31,"This attractive, charming and flashing room is available."
772,772,3693,https://junehomes.com/residences/boston-ma/brighton/1276-brighton/3693,brighton/1276-brighton/3693,3,2,1650,128,2023-05-31,2023-03-31,"This comfy, cute and charming room is available."
773,773,3519,https://junehomes.com/residences/boston-ma/jfk/1225-jfkumass/3519,jfk/1225-jfkumass/3519,5,1,1625,102,2023-08-20,2023-07-18,"This 102 square footage room on Boston's JFK/UMass is a neat, spacious and smart room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
774,774,3543,https://junehomes.com/residences/boston-ma/allston/1232-brighton/3543,allston/1232-brighton/3543,4,2,1625,148,2023-05-21,2023-05-08,"This 148 square footage room on Boston's Allston is a neat, spacious and glossy room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
775,775,3221,https://junehomes.com/residences/boston-ma/jfk/1086-jfkumass/3221,jfk/1086-jfkumass/3221,6,2,1650,173,2023-05-05,2023-10-01,"This spacious, well-kept and appealing room is available."
776,776,3575,https://junehomes.com/residences/boston-ma/brighton/1238-brighton/3575,brighton/1238-brighton/3575,4,1,1650,152,2023-12-01,2023-10-01,"This bright, sunny and shine room is available."
