,id,Trans_id,stations,color,walktime,description
244,75,3,",8,16,41",#F5C00E,6,JFK/UMass
245,76,0,",B",#00843D,8,Harvard Avenue
246,76,1,",Framingham",#8E44AD,13,Boston Landing
247,77,0,",57,501",#EB841E,3,Washington St @ Brock St
248,77,1,",51,65,86",#EB841E,12,Chestnut Hill Ave @ Veronica Smith Ctr
249,78,0,",B",#018835,8,Harvard Avenue
250,78,1,",64,66,501",#F5C00E,1,Cambridge Street
251,79,0,",Greenbush/Kingston",#8E44AD,1,JFK / UMass
252,79,1,",Red,Line",#DA1721,1,JFK / UMass
253,79,2,",Middleborough/Lakeville",#8E44AD,1,JFK / UMass
254,79,3,",8,16,41",#EB841E,1,JFK / UMass
255,80,0,",B",#018835,4,Sutherland Road
256,80,1,",C",#018835,5,Dean Road
257,81,0,",Red,Line",#EC211F,8,Porter
258,81,1,",88,89",#F5C00E,2,Highland Ave @ Willow Ave
259,81,2,",Fitchburg,Line",#B933AD,8,Porter
260,81,3,",87,88,89,90,94,96",#F5C00E,10,Davis
261,82,0,",Red,LIne",#8E44AD,8,JFK / UMass
262,82,1,",Greenbush/Kingston",#8E44AD,8,JFK / UMass
263,82,2,",Middleborough/Lakeville",#EC211F,8,JFK / UMass
264,82,3,",8,16,41",#EB841E,8,JFK / UMass
265,82,4,",18",#EB841E,2,Dorchster Ave @ Howes St
266,83,0,",Red,Line",#DA1721,8,Andrew
267,83,1,",Fairmount,Franklin",#8E44AD,11,Newmarket
268,83,2,",Greenbush,Kingston",#8E44AD,14,JFK / UMass
269,83,3,",8,41,16",#F5C00E,14,JFK / UMass
270,83,4,",Middleborough/Lakeville",#8E44AD,14,JFK / UMass
271,84,0,",B",#018835,8,Chiswick Road
272,84,1,",51,86",#F5C00E,2,Chestnut Hill Ave @ Wiltshire Rd
273,85,0,",57,501",#F5C00E,2,Washington St @ Oak Square Ave
274,85,1,",64",#F5C00E,6,Faneuil St @ Brooks St
275,86,0,",B",#00843D,8,Harvard Avenue
276,86,1,",64,66,501",#F5C00E,1,Cambridge Street
277,87,0,",Framingham/Worcester,Line",#8E44AD,10,Boston Landing
278,87,1,",70,86",#F5C00E,5,Western Ave @ Litchfield St
279,87,2,",64",#F5C00E,10,Market St @ Guest St
280,88,0,",Red,Line",#DA1721,10,JFK / UMass
281,88,1,",Kingston/Greenbush",#8E44AD,10,JFK / UMass
282,88,2,",Middleborough/Lakeville",#8E44AD,10,JFK / UMass
283,88,3,",8,16,41",#EB841E,10,JFK / UMass
284,89,0,",D,E",#018835,15,Union Square
285,89,1,",80",#F5C00E,3,Pearl St @ McGrath Hwy
286,89,2,",88,90",#F5C00E,3,Highland Ave @ Walnut St
287,90,0,",Framingham/Worcester,Line",#8E44AD,10,Boston Landing
288,90,1,",70,86",#F5C00E,5,Western Ave @ Litchfield St
289,90,2,",64",#F5C00E,10,Market St @ Guest St
290,91,0,",23",#F5C00E,1,Washington St @ Columbia Rd
291,91,1,",16,19",#F5C00E,1,Columbia Rd @ Washington St
292,91,2,",Franklin/Fairmount,Line",#80276c,3,Four Corners/Geneva
293,92,0,",Red,Line",#EC211F,8,Porter
294,92,1,",88,89",#F5C00E,2,Highland Ave @ Willow Ave
295,92,2,",Fitchburg,Line",#B933AD,8,Porter
296,92,3,",87,88,89,90,94,96",#F5C00E,10,Davis
297,93,0,",80",#F5C00E,1,Medford St @ Glenwood Rd
298,93,1,",89,89/93",#F5C00E,5,Broadway @ Medford St - Magoun Sq
299,93,2,",101",#F5C00E,10,Main St @ Broadway
300,94,0,",Red,Line",#DA1721,6,JFK / UMass
301,94,1,",Greenbush/Kingston",#8E44AD,6,JFK / UMass
302,94,2,",Fairmount/Franklin",#8E44AD,15,Uphams Corner
303,94,3,",8,16,41",#F5C00E,6,JFK / UMass
304,95,0,",Red,Line",#EC211F,8,Porter
305,95,1,",88,89",#F5C00E,2,Highland Ave @ Willow Ave
306,95,2,",Fitchburg,Line",#B933AD,8,Porter
307,95,3,",87,88,89,90,94,96",#F5C00E,10,Davis
308,96,0,",Red,Line",#EC211F,8,Porter
309,96,1,",88,89",#F5C00E,2,Highland Ave @ Willow Ave
310,96,2,",Fitchburg,Line",#B933AD,8,Porter
311,96,3,",87,88,89,90,94,96",#F5C00E,10,Davis
312,97,0,",Fairmount,Line",#B933AD,5,Uphams Corner
313,97,1,",Kingston,Line",#B933AD,15,JFK / UMass
314,97,2,",Greenbush,Line",#B933AD,15,JFK / UMass
315,97,3,",Red,line",#DA1721,15,JFK / UMass
316,97,4,",16,17,41",#F5C00E,5,Columbia Rd @ Holden St
317,98,0,",Greenbush,Line,Kingston,Line,Middleborough/Lakeville,Line",#80276c,15,JFK / UMass
318,98,1,",Red,Line",#da291c,15,JFK / UMass
319,98,2,",8,16,41,Red,Line,Shuttle",#f2bd2a,15,JFK / UMass
320,98,3,",17",#f2bd2a,3,Columbia Rd @ Holden St
321,99,0,",Red,Line",#DA1721,6,JFK / UMass
322,99,1,",Kingston/Greenbush",#8E44AD,6,JFK / UMass
323,99,2,",Middleborough/Lakeville",#8E44AD,6,JFK / UMass
324,99,3,",8,41",#F5C00E,2,Columbia Rd @ Buttonwood St
325,100,0,",Greenbush,Line,Kingston,Line,Middleborough/Lakeville,Line",#80276c,15,JFK / UMass
326,100,1,",Red,Line",#da291c,15,JFK / UMass
327,100,2,",8,16,41,Red,Line,Shuttle",#f2bd2a,15,JFK / UMass
328,100,3,",17",#f2bd2a,3,Columbia Rd @ Holden St
329,101,0,",Red,Line",#EC211F,8,Porter
330,101,1,",88,89",#F5C00E,2,Highland Ave @ Willow Ave
331,101,2,",Fitchburg,Line",#B933AD,8,Porter
332,101,3,",87,88,89,90,94,96",#F5C00E,10,Davis
333,102,0,",B",#00843D,8,Harvard Avenue
334,102,1,",64,66,501",#F5C00E,1,Cambridge Street
335,103,0,",Red,Line",#DA1721,10,JFK / UMass
336,103,1,",Kingston/Greenbush",#8E44AD,10,JFK / UMass
337,103,2,",Middleborough/Lakeville",#8E44AD,10,JFK / UMass
338,103,3,",8,16,41",#EB841E,10,JFK / UMass
339,104,0,",Red,Line",#EC211F,8,Porter
340,104,1,",88,89",#F5C00E,2,Highland Ave @ Willow Ave
341,104,2,",Fitchburg,Line",#B933AD,8,Porter
342,104,3,",87,88,89,90,94,96",#F5C00E,10,Davis
343,105,0,",Fairmount,Line",#B933AD,5,Uphams Corner
344,105,1,",Kingston,Line",#B933AD,15,JFK / UMass
345,105,2,",Greenbush,Line",#B933AD,15,JFK / UMass
346,105,3,",Red,line",#DA1721,15,JFK / UMass
347,105,4,",16,17,41",#F5C00E,5,Columbia Rd @ Holden St
348,106,0,",18",#F5C00E,3,Dorchester Ave Romsey St
349,107,0,",B",#018835,5,Washington St
350,107,1,",C",#018835,7,Dean Road
351,107,2,",D",#018835,12,Beaconsfield
352,108,0,",Red,Line",#DA1721,6,JFK / UMass
353,108,1,",Greenbush,Line,Kingston,Line",#8E44AD,6,JFK / UMass
354,108,2,",Fairmount,Line,Franklin,Line",#8E44AD,15,Uphams Corner
355,108,3,",8,16,41",#F5C00E,6,JFK / UMass
356,109,0,",Red,Line",#DA1721,6,JFK / UMass
357,109,1,",Greenbush,Line,Kingston,Line",#8E44AD,6,JFK / UMass
358,109,2,",Fairmount,Line,Franklin,Line",#8E44AD,15,Uphams Corner
359,109,3,",8,16,41",#F5C00E,6,JFK / UMass
360,110,0,",80",#F5C00E,2,Pearl St and McGrath Hwy
361,110,1,",90",#F5C00E,4,Cross St and Auburn Ave
362,111,0,",Orange,Line",#EB841E,8,Stony Brook
363,111,1,",42",#F5C00E,1,Washington St @ School St
364,111,2,",22,29,44",#F5C00E,2,Columbus Ave @ Weld Ave
365,112,0,",Red,line",#EC211F,1,JFK / UMass
366,112,1,",Greenbush/Kingston",#B933AD,1,JFK / UMass
367,112,2,",Middleborough/Lakeville",#B933AD,1,JFK / UMass
368,112,3,",8,16,41",#F5C00E,1,JFK / UMass
369,113,0,",Fairmount,Line",#B933AD,5,Uphams Corner
370,113,1,",Kingston,Line",#B933AD,15,JFK / UMass
371,113,2,",Greenbush,Line",#B933AD,15,JFK / UMass
372,113,3,",Red,line",#DA1721,15,JFK / UMass
373,113,4,",16,17,41",#F5C00E,5,Columbia Rd @ Holden St
374,114,0,",Red,Line",#DA1721,6,JFK / UMass
375,114,1,",Middleborough/Lakeville,Line",#8E44AD,6,JFK / UMass
376,114,2,",Greenbush,Line",#8E44AD,6,JFK / UMass
377,114,3,",Kingston,Line",#8E44AD,6,JFK / UMass
378,114,4,",18",#F5C00E,2,Dorchester Ave @ Edison Green
379,115,0,",Greenbush,Line,Kingston,Line,Middleborough/Lakeville,Line",#8E44AD,11,JFK / UMass
380,115,1,",Red,Line",#DA1721,11,JFK / UMass
381,115,2,",8,16,41",#F5C00E,11,JFK / UMass
382,116,0,",Greenbush,Line,Kingston,Line,Middleborough/Lakeville,Line",#80276c,15,JFK / UMass
383,116,1,",Red,Line",#da291c,15,JFK / UMass
384,116,2,",8,16,41,Red,Line,Shuttle",#f2bd2a,15,JFK / UMass
385,117,0,",B",#018835,5,Griggs Street
386,117,1,",57,66",#F5C00E,5,Brighton Ave @ Allston St
387,117,2,",Green,Line,B,Shuttle",#F5C00E,5,Griggs Street
388,118,0,",80",#F5C00E,2,Pearl St and McGrath Hwy
389,118,1,",90",#F5C00E,4,Cross St and Auburn Ave
390,119,0,",Red,Line",#DA1721,6,JFK / UMass
391,119,1,",Greenbush/Kingston",#8E44AD,6,JFK / UMass
392,119,2,",Middleborough/Lakeville",#8E44AD,6,JFK / UMass
393,119,3,",18",#F5C00E,2,Dorchester Ave @ Edison Green
394,120,0,",22,29,44",#F5C00E,4,Columbus Ave @ Walnut Ave
395,121,0,",Greenbush,Line,Kingston,Line,Middleborough/Lakeville,Line",#8E44AD,11,JFK / UMass
396,121,1,",Red,Line",#DA1721,11,JFK / UMass
397,121,2,",8,16,41",#F5C00E,11,JFK / UMass
398,122,0,",Blue,Line",#003da5,15,Airport
399,122,1,",114,116,117",#f2bd2a,5,Meridian St @ Eutaw St
400,123,0,",Red,Line",#EC211F,6,JFK/UMass
401,123,1,",Greenbush,Line,Kingston,Line",#8E44AD,6,JFK/UMass
402,123,2,",Fairmount,Line,Franklin/Foxboro,Line",#8E44AD,15,Newmarket
403,123,3,",8,16,41",#F5C00E,6,JFK/UMass
404,124,0,",Red,Line",#DA1721,7,JFK / UMass
405,124,1,",Greenbush/Kingston",#8E44AD,7,JFK / UMass
406,124,2,",Middleborough/Lakeville",#8E44AD,7,JFK / UMass
407,124,3,",18",#F5C00E,2,Dorchester Ave @ Mayfield St
408,124,4,",8,16,41",#F5C00E,7,JFK / UMass
409,125,0,",Red,Line",#EC211F,6,JFK / UMass
410,125,1,",Greenbush/Kingston",#8E44AD,6,JFK / UMass
411,125,2,",8,16,41",#F5C00E,6,JFK / UMass
412,125,3,",Fairmount/Franklin",#80276c,15,Uphams Corner
413,125,4,",17,18",#F5C00E,7,Boston St @ Mayhew St
414,126,0,",64",#F5C00E,4,Brooks St @ Faneuil St
415,126,1,",57,501",#F5C00E,9,Washington St @ Oak Square Ave
416,126,2,",86",#F5C00E,14,Market St @ Keenan Rd
417,127,0,",Framingham/Worcester,Line",#8E44AD,10,Boston Landing
418,127,1,",70,86",#F5C00E,5,Western Ave @ Litchfield St
419,127,2,",64",#F5C00E,10,Market St @ Guest St
420,128,0,",D,E",#018835,15,Union Square
421,128,1,",80",#F5C00E,3,Pearl St @ McGrath Hwy
422,128,2,",88,90",#F5C00E,3,Highland Ave @ Walnut St
423,129,0,",Red",#DA1721,7,JFK / UMas
424,129,1,",Greenbush,Line,Kingston,Line",#8E44AD,7,JFK / UMas
425,129,2,",Middleborough/Lakeville",#8E44AD,7,JFK / UMas
426,130,0,",B",#018835,14,Warren Street
