,id,Amenities
64,64,"WiFi (Paid), 32-inch Flat-Screen TV, Smart lock, Smoke-free, Guarantors allowed, HVAC, Dishwasher, Laundry in building (paid), Portable AC (Common space), Hardwood floors, Oven, Refrigerator"
65,65,"Dining area, WiFi (Paid), Smoke-free, Guarantors allowed, Laundry in building (paid), Street parking, 32-inch Flat-Screen TV, Radiator heating, Dishwasher, Living area, Hardwood floors, Microwave, Oven, Refrigerator"
66,66,"Dishwasher, 32-inch Flat-Screen TV, Smoke-free, Guarantors allowed, Radiator heating, Hardwood floors, Microwave, Oven, Refrigerator"
67,67,"Street parking, Smoke-free, Guarantors allowed, Laundry in home (free), Dine in kitchen, Radiator heating, Dishwasher, Hardwood floors, Microwave, Oven, Refrigerator"
68,68,"Street parking, Smoke-free, Guarantors allowed, Laundry in home (free), Dine in kitchen, Radiator heating, Dishwasher, Hardwood floors, Microwave, Oven, Refrigerator"
69,69,"Window AC (Common space), Guarantors allowed, Radiator heating, Street parking, Laundry in building (paid), 32-inch Flat-Screen TV, Dishwasher, Smoke-free, WiFi (Paid), Hardwood floors, Oven, Refrigerator"
70,70,"Street parking, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in home (free), Radiator heating, Hardwood floors, Microwave, Oven, Refrigerator"
71,71,"Street parking, Dine in kitchen, HVAC, Smoke-free, Guarantors allowed, Hardwood floors, Oven, Refrigerator"
72,72,"Radiator heating, Dishwasher, Smoke-free, Guarantors allowed, Paid parking, Laundry in building (free), Living area, Hardwood floors, Microwave, Oven, Refrigerator"
73,73,"Street parking, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in home (free), Radiator heating, Hardwood floors, Microwave, Oven, Refrigerator"
74,74,"Street parking, Smoke-free, Guarantors allowed, Laundry in home (free), Dine in kitchen, Radiator heating, Dishwasher, Hardwood floors, Microwave, Oven, Refrigerator"
75,75,"Window AC (Common space), WiFi (Paid), Guarantors allowed, Paid parking, Laundry in home (free), Dishwasher, HVAC, Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
76,76,"Central AC (Common space), Smoke-free, WiFi (Paid), Guarantors allowed, Paid parking, Decorative fireplace, 32-inch Flat-Screen TV, Dishwasher, HVAC, Laundry in building (free), Hardwood floors, Oven, Refrigerator"
77,77,"32-inch Flat-Screen TV, Radiator heating, Dishwasher, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in home (free), Outdoor space, Living area, Mini Split (Common space), Hardwood floors, Microwave, Oven, Refrigerator"
78,78,"Central AC (Common space), Guarantors allowed, Laundry in building (paid), Central heating, 32-inch Flat-Screen TV, Dishwasher, Smoke-free, WiFi (Paid), Hardwood floors, Oven, Refrigerator"
79,79,"Street parking, WiFi (Paid), Guarantors allowed, Laundry in building (paid), Dishwasher, Electric heating, Smoke-free, Hardwood floors, Oven, Refrigerator"
80,80,"Window AC (Common space), Guarantors allowed, Radiator heating, Street parking, Laundry in building (paid), 32-inch Flat-Screen TV, Dishwasher, Smoke-free, WiFi (Paid), Hardwood floors, Oven, Refrigerator"
81,81,"Dishwasher, Dine in kitchen, HVAC, Smoke-free, Guarantors allowed, Laundry in building (paid), Paid parking, Hardwood floors, Microwave, Oven, Refrigerator"
82,82,"Smoke-free, Dine in kitchen, HVAC, WiFi (Paid), Laundry in building (paid), Guarantors allowed, Hardwood floors, Microwave, Oven, Refrigerator"
83,83,"Dining area, Laundry in building (paid), Smoke-free, WiFi (Paid), Guarantors allowed, HVAC, Hardwood floors, Microwave, Oven, Refrigerator"
84,84,"Dishwasher, Smart lock, 32-inch Flat-Screen TV, Laundry in building (paid), Guarantors allowed, WiFi (Paid), Window AC (Common space), Radiator heating, Smoke-free, Dine in kitchen, Back porch, Driveway parking (paid), Hardwood floors, Oven, Refrigerator"
85,85,"Street parking, WiFi (Paid), Guarantors allowed, Electric heating, Laundry in building (paid), Dishwasher, Smoke-free, Wall-Mounted TV, Hardwood floors, Oven, Refrigerator"
86,86,"WiFi (Paid), Dishwasher, Smart lock, Smoke-free, Guarantors allowed, Laundry in building (paid), HVAC, Wall-Mounted TV, Hardwood floors, Oven, Refrigerator"
87,87,"Street parking, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in building (paid), Radiator heating, Dishwasher, Hardwood floors, Microwave, Oven, Refrigerator"
88,88,"WiFi (Paid), Dishwasher, HVAC, Guarantors allowed, Street parking, Laundry in home (free), Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
89,89,"Paid parking, Electric heating, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in building (paid), Hardwood floors, Microwave, Oven, Refrigerator"
90,90,"Smoke-free, Street parking, Laundry in building (paid), Guarantors allowed, Dishwasher, WiFi (Paid), HVAC, Wall-Mounted TV, Hardwood floors, Oven, Refrigerator"
91,91,"WiFi (Paid), Smoke-free, Guarantors allowed, Gas heating, Street parking, Balcony, Wall-Mounted TV, Hardwood floors, Microwave, Oven, Refrigerator"
92,92,"Dishwasher, Dine in kitchen, HVAC, Smoke-free, Guarantors allowed, Laundry in building (paid), Paid parking, Hardwood floors, Microwave, Oven, Refrigerator"
93,93,"Smoke-free, Dine in kitchen, HVAC, WiFi (Paid), Paid parking, Laundry in building (paid), Guarantors allowed, Hardwood floors, Microwave, Oven, Refrigerator"
94,94,"Laundry in home (free), Smoke-free, WiFi (Paid), Paid parking, Window AC (Common space), HVAC, Hardwood floors, Microwave, Oven, Refrigerator"
95,95,"Dishwasher, Dine in kitchen, HVAC, Smoke-free, Guarantors allowed, Laundry in building (paid), Paid parking, Hardwood floors, Microwave, Oven, Refrigerator"
96,96,"Dishwasher, Dine in kitchen, HVAC, Smoke-free, Guarantors allowed, Laundry in building (paid), Paid parking, Hardwood floors, Microwave, Oven, Refrigerator"
97,97,"Street parking, Dine in kitchen, HVAC, Smoke-free, Guarantors allowed, Hardwood floors, Oven, Refrigerator"
98,98,"HVAC, Guarantors allowed, Laundry in home (free), Street parking, Dishwasher, Smoke-free, Hardwood floors, Oven, Refrigerator"
99,99,"Smoke-free, Window AC (Common space), Dine in kitchen, Gas heating, 32-inch Flat-Screen TV, WiFi (Paid), Laundry in home (free), Living area, Parking Spot (Paid), Hardwood floors, Microwave, Oven, Refrigerator"
100,100,"HVAC, Guarantors allowed, Laundry in home (free), Street parking, Dishwasher, Smoke-free, Hardwood floors, Oven, Refrigerator"
101,101,"Dishwasher, Dine in kitchen, HVAC, Smoke-free, Guarantors allowed, Laundry in building (paid), Paid parking, Hardwood floors, Microwave, Oven, Refrigerator"
102,102,"WiFi (Paid), Dishwasher, Smart lock, Smoke-free, Guarantors allowed, Laundry in building (paid), HVAC, Wall-Mounted TV, Hardwood floors, Oven, Refrigerator"
103,103,"Street parking, HVAC, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in home (free), Hardwood floors, Microwave, Oven, Refrigerator"
104,104,"Dishwasher, Dine in kitchen, HVAC, Smoke-free, Guarantors allowed, Laundry in building (paid), Paid parking, Hardwood floors, Microwave, Oven, Refrigerator"
105,105,"Street parking, Dine in kitchen, HVAC, Smoke-free, Guarantors allowed, Hardwood floors, Oven, Refrigerator"
106,106,"32-inch Flat-Screen TV, Dine in kitchen, Patio, Gas heating, Smoke-free, Laundry in home (free), Guarantors allowed, Common area, Window AC (Common space), Street parking, Dishwasher, WiFi (Paid), Smart lock, Hardwood floors, Oven, Refrigerator"
107,107,"Paid parking, Smoke-free, WiFi (Paid), Guarantors allowed, Dishwasher, Electric heating, 32-inch Flat-Screen TV, Hardwood floors, Oven, Refrigerator"
108,108,"Window AC (Common space), WiFi (Paid), Guarantors allowed, Paid parking, Laundry in home (free), HVAC, Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
109,109,"Window AC (Common space), WiFi (Paid), Guarantors allowed, Paid parking, Laundry in home (free), HVAC, Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
110,110,"Smoke-free, Paid parking, Dishwasher, HVAC, Dining area, 32-inch Flat-Screen TV, Laundry in home (free), Guarantors allowed, Balcony, Living area, Hardwood floors, Microwave, Oven, Refrigerator"
111,111,"Street parking, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in building (paid), Electric heating, Dishwasher, Wall-Mounted TV, Hardwood floors, Oven, Refrigerator"
112,112,"Laundry in building (paid), WiFi (Paid), Guarantors allowed, HVAC, Dishwasher, Smoke-free, Hardwood floors, Oven, Refrigerator"
113,113,"Street parking, Dine in kitchen, HVAC, Smoke-free, Guarantors allowed, Hardwood floors, Oven, Refrigerator"
114,114,"Paid parking, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in home (free), HVAC, Hardwood floors, Microwave, Oven, Refrigerator"
115,115,"Dishwasher, 32-inch Flat-Screen TV, Smoke-free, Guarantors allowed, Radiator heating, Hardwood floors, Microwave, Oven, Refrigerator"
116,116,"Dishwasher, HVAC, Smoke-free, Guarantors allowed, Laundry in home (free), Street parking, Hardwood floors, Microwave, Oven, Refrigerator"
117,117,"Street parking, WiFi (Paid), Guarantors allowed, Radiator heating, Laundry in building (paid), 32-inch Flat-Screen TV, Dishwasher, Smoke-free, Hardwood floors, Oven, Refrigerator"
118,118,"Smoke-free, Paid parking, Dishwasher, HVAC, Dining area, 32-inch Flat-Screen TV, Laundry in home (free), Guarantors allowed, Balcony, Living area, Hardwood floors, Microwave, Oven, Refrigerator"
119,119,"Window AC (Common space), WiFi (Paid), Guarantors allowed, Paid parking, Laundry in home (free), HVAC, Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
120,120,"Central AC (Common space), WiFi (Paid), Guarantors allowed, Street parking, Laundry in home (free), HVAC, 32-inch Flat-Screen TV, Dishwasher, Smoke-free, Hardwood floors, Oven, Refrigerator"
121,121,"Dishwasher, 32-inch Flat-Screen TV, Smoke-free, Guarantors allowed, Radiator heating, Hardwood floors, Microwave, Oven, Refrigerator"
122,122,"32-inch Flat-Screen TV, Dine in kitchen, Electric heating, Smoke-free, Guarantors allowed, Laundry in home (free), Living area, Hardwood floors, Microwave, Oven, Refrigerator"
123,123,"Window AC (Common space), WiFi (Paid), Guarantors allowed, Paid parking, Laundry in home (free), Dishwasher, HVAC, Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
124,124,"WiFi (Paid), 32-inch Flat-Screen TV, HVAC, Guarantors allowed, Street parking, Laundry in building (paid), Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
125,125,"Paid parking, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in home (free), HVAC, Hardwood floors, Microwave, Oven, Refrigerator"
126,126,"Paid parking, Guarantors allowed, Laundry in home (free), Outdoor space, 32-inch Flat-Screen TV, Dishwasher, Decorative fireplace, Electric heating, Smoke-free, WiFi (Paid), Hardwood floors, Oven, Refrigerator"
127,127,"Street parking, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in building (paid), Radiator heating, Dishwasher, Hardwood floors, Microwave, Oven, Refrigerator"
128,128,"Paid parking, Electric heating, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in building (paid), Hardwood floors, Microwave, Oven, Refrigerator"
129,129,"Central AC (Common space), Guarantors allowed, Central heating, Laundry in home (free), Street parking, 32-inch Flat-Screen TV, Dishwasher, Smoke-free, WiFi (Paid), Back porch, Hardwood floors, Oven, Refrigerator"
130,130,"Street parking, Dine in kitchen, Smoke-free, Guarantors allowed, Laundry in home (free), WiFi (Paid), HVAC, Dishwasher, Hardwood floors, Microwave, Oven, Refrigerator"
131,131,"Dishwasher, 32-inch Flat-Screen TV, Smoke-free, Guarantors allowed, Radiator heating, Hardwood floors, Microwave, Oven, Refrigerator"
132,132,"32-inch Flat-Screen TV, Dine in kitchen, Electric heating, Smoke-free, Guarantors allowed, Laundry in home (free), Living area, Hardwood floors, Microwave, Oven, Refrigerator"
133,133,"Street parking, Dine in kitchen, HVAC, Smoke-free, Guarantors allowed, Hardwood floors, Oven, Refrigerator"
134,134,"32-inch Flat-Screen TV, Dine in kitchen, Electric heating, Smoke-free, Guarantors allowed, Laundry in home (free), Living area, Hardwood floors, Microwave, Oven, Refrigerator"
135,135,"Guarantors allowed, Window AC (Common space), Electric heating, Street parking, 32-inch Flat-Screen TV, Smoke-free, WiFi (Paid), Back porch, Balcony, Hardwood floors, Microwave, Oven, Refrigerator"
136,136,"Dishwasher, HVAC, Smoke-free, Guarantors allowed, Laundry in home (free), Street parking, Hardwood floors, Microwave, Oven, Refrigerator"
137,137,"Street parking, Dine in kitchen, Smoke-free, Guarantors allowed, Laundry in home (free), WiFi (Paid), HVAC, Dishwasher, Hardwood floors, Microwave, Oven, Refrigerator"
138,138,"Street parking, Smoke-free, Guarantors allowed, Laundry in home (free), Dishwasher, HVAC, Hardwood floors, Oven, Refrigerator"
139,139,"Street parking, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in building (paid), Electric heating, Dishwasher, Wall-Mounted TV, Hardwood floors, Oven, Refrigerator"
140,140,"Smoke-free, Paid parking, Dishwasher, HVAC, Dining area, 32-inch Flat-Screen TV, Laundry in home (free), Guarantors allowed, Balcony, Living area, Hardwood floors, Microwave, Oven, Refrigerator"
141,141,"Street parking, WiFi (Paid), Guarantors allowed, Electric heating, Laundry in home (free), Dishwasher, Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
142,142,"HVAC, Guarantors allowed, Laundry in home (free), Street parking, Dishwasher, Smoke-free, Hardwood floors, Oven, Refrigerator"
143,143,"Street parking, WiFi (Paid), Guarantors allowed, Electric heating, Laundry in home (free), Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
144,144,"Radiator heating, 32-inch Flat-Screen TV, WiFi (Paid), Guarantors allowed, Laundry in building (paid), Street parking, Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
145,145,"HVAC, Guarantors allowed, Laundry in home (free), Street parking, Dishwasher, Smoke-free, Hardwood floors, Oven, Refrigerator"
146,146,"Dishwasher, HVAC, Smoke-free, Guarantors allowed, Laundry in home (free), Street parking, Hardwood floors, Microwave, Oven, Refrigerator"
147,147,"32-inch Flat-Screen TV, Fresh Linens, Smart lock, Dine in kitchen, Patio, HVAC, Smoke-free, Laundry in home (free), Guarantors allowed, Common area, Window AC (Common space), Paid parking, Dishwasher, WiFi (Paid), Outdoor space, Hardwood floors, Oven, Refrigerator"
148,148,"WiFi (Paid), Radiator heating, Laundry in home (free), Guarantors allowed, Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
149,149,"Laundry in building (paid), Smoke-free, WiFi (Paid), Guarantors allowed, Street parking, 32-inch Flat-Screen TV, Dishwasher, HVAC, Hardwood floors, Microwave, Oven, Refrigerator"
150,150,"Laundry in building (paid), Smoke-free, WiFi (Paid), Guarantors allowed, Street parking, 32-inch Flat-Screen TV, Dishwasher, HVAC, Hardwood floors, Microwave, Oven, Refrigerator"
151,151,"Dishwasher, HVAC, Smoke-free, Guarantors allowed, Laundry in home (free), Street parking, Hardwood floors, Microwave, Oven, Refrigerator"
152,152,"32-inch Flat-Screen TV, Fresh Linens, Smart lock, Dine in kitchen, Patio, HVAC, Smoke-free, Laundry in home (free), Guarantors allowed, Common area, Window AC (Common space), Paid parking, Dishwasher, WiFi (Paid), Outdoor space, Hardwood floors, Oven, Refrigerator"
153,153,"Street parking, HVAC, Smoke-free, WiFi (Paid), Guarantors allowed, Dishwasher, Laundry in building (paid), Hardwood floors, Microwave, Oven, Refrigerator"
154,154,"Dishwasher, HVAC, Smoke-free, Guarantors allowed, Laundry in home (free), Street parking, Hardwood floors, Microwave, Oven, Refrigerator"
155,155,"Smoke-free, Paid parking, Dishwasher, HVAC, Dining area, 32-inch Flat-Screen TV, Laundry in home (free), Guarantors allowed, Balcony, Living area, Hardwood floors, Microwave, Oven, Refrigerator"
156,156,"HVAC, Guarantors allowed, Laundry in home (free), Street parking, Dishwasher, Smoke-free, Hardwood floors, Oven, Refrigerator"
157,157,"32-inch Flat-Screen TV, Dine in kitchen, Dining area, Smoke-free, Guarantors allowed, Common area, Window AC (Common space), Street parking, Electric heating, Laundry in building (paid), Dishwasher, WiFi (Paid), Smart lock, Hardwood floors, Oven, Refrigerator"
158,158,"WiFi (Paid), Dishwasher, Smart lock, Smoke-free, Guarantors allowed, Laundry in building (paid), HVAC, Wall-Mounted TV, Hardwood floors, Oven, Refrigerator"
159,159,"Smoke-free, Air Conditioning (Common space), WiFi (Paid), Dishwasher, Radiator heating, Laundry in home (free), Wall-Mounted TV, Hardwood floors, Microwave, Oven, Refrigerator"
160,160,"HVAC, Guarantors allowed, Laundry in home (free), Street parking, Dishwasher, Smoke-free, Hardwood floors, Oven, Refrigerator"
161,161,"Guarantors allowed, 32-inch Flat-Screen TV, Radiator heating, Dishwasher, Smoke-free, WiFi (Paid), Laundry in building (free), Parking Spot (Paid), Hardwood floors, Oven, Refrigerator"
162,162,"Laundry in building (paid), Smoke-free, WiFi (Paid), Guarantors allowed, Street parking, 32-inch Flat-Screen TV, Dishwasher, HVAC, Hardwood floors, Microwave, Oven, Refrigerator"
