id,Apt_id,url,address,Beds,Bath,Price,BedArea,Availablefrom,Availabletill,Description
298,1601,https://junehomes.com/residences/boston-ma/allston/585-allston/1601,allston,4,3,1675,177,2022-12-31,2023-02-04,"This clean, spacious and functional room is available."
298,1601,https://junehomes.com/residences/boston-ma/allston/585-allston/1601,585-allston,4,3,1675,177,2022-12-31,2023-02-04,"This clean, spacious and functional room is available."
298,1601,https://junehomes.com/residences/boston-ma/allston/585-allston/1601,1601,4,3,1675,177,2022-12-31,2023-02-04,"This clean, spacious and functional room is available."
299,2779,https://junehomes.com/residences/boston-ma/jfk/977-jfkumass/2779,jfk,5,2,1675,99,2023-01-09,2023-02-08,"This 99 square footage room on Boston's JFK/UMass is a clean, charming and glossy room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
299,2779,https://junehomes.com/residences/boston-ma/jfk/977-jfkumass/2779,977-jfkumass,5,2,1675,99,2023-01-09,2023-02-08,"This 99 square footage room on Boston's JFK/UMass is a clean, charming and glossy room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
299,2779,https://junehomes.com/residences/boston-ma/jfk/977-jfkumass/2779,2779,5,2,1675,99,2023-01-09,2023-02-08,"This 99 square footage room on Boston's JFK/UMass is a clean, charming and glossy room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
300,3032,https://junehomes.com/residences/boston-ma/jfk/1043-jfkumass/3032,jfk,5,1,1675,128,2023-01-01,2023-01-31,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
300,3032,https://junehomes.com/residences/boston-ma/jfk/1043-jfkumass/3032,1043-jfkumass,5,1,1675,128,2023-01-01,2023-01-31,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
300,3032,https://junehomes.com/residences/boston-ma/jfk/1043-jfkumass/3032,3032,5,1,1675,128,2023-01-01,2023-01-31,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
301,3937,https://junehomes.com/residences/boston-ma/jfk/1357-savin-hill/3937,jfk,4,1,1675,137,2023-01-01,2023-01-31,"This 137 square footage room on Boston's JFK/UMassis a spacious, lovely and clean room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
301,3937,https://junehomes.com/residences/boston-ma/jfk/1357-savin-hill/3937,1357-savin-hill,4,1,1675,137,2023-01-01,2023-01-31,"This 137 square footage room on Boston's JFK/UMassis a spacious, lovely and clean room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
301,3937,https://junehomes.com/residences/boston-ma/jfk/1357-savin-hill/3937,3937,4,1,1675,137,2023-01-01,2023-01-31,"This 137 square footage room on Boston's JFK/UMassis a spacious, lovely and clean room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
302,3576,https://junehomes.com/residences/boston-ma/brighton/1238-brighton/3576,brighton,4,1,1675,112,2022-12-30,2023-02-03,"This bright, sunny and shine room is available."
302,3576,https://junehomes.com/residences/boston-ma/brighton/1238-brighton/3576,1238-brighton,4,1,1675,112,2022-12-30,2023-02-03,"This bright, sunny and shine room is available."
302,3576,https://junehomes.com/residences/boston-ma/brighton/1238-brighton/3576,3576,4,1,1675,112,2022-12-30,2023-02-03,"This bright, sunny and shine room is available."
303,2322,https://junehomes.com/residences/boston-ma/allston/834-allston/2322,allston,7,2,1675,167,2022-12-22,2023-01-21,"This 167 square footage room on Boston's Allston is a spacious, well-kept and comfortable room in a 7-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
303,2322,https://junehomes.com/residences/boston-ma/allston/834-allston/2322,834-allston,7,2,1675,167,2022-12-22,2023-01-21,"This 167 square footage room on Boston's Allston is a spacious, well-kept and comfortable room in a 7-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
303,2322,https://junehomes.com/residences/boston-ma/allston/834-allston/2322,2322,7,2,1675,167,2022-12-22,2023-01-21,"This 167 square footage room on Boston's Allston is a spacious, well-kept and comfortable room in a 7-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
304,3985,https://junehomes.com/residences/boston-ma/mission-hill/1375-mission-hill/3985,mission-hill,5,2,1675,142,2023-01-01,2023-01-31,"This 142 square footage room on Boston's Mission Hill is a spacious, appealing and clean room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
304,3985,https://junehomes.com/residences/boston-ma/mission-hill/1375-mission-hill/3985,1375-mission-hill,5,2,1675,142,2023-01-01,2023-01-31,"This 142 square footage room on Boston's Mission Hill is a spacious, appealing and clean room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
304,3985,https://junehomes.com/residences/boston-ma/mission-hill/1375-mission-hill/3985,3985,5,2,1675,142,2023-01-01,2023-01-31,"This 142 square footage room on Boston's Mission Hill is a spacious, appealing and clean room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
