,id,Transport
27,27,"[{'id': 0, 'stations': ['Fairmount/Franklin'], 'color': '#8E44AD', 'walktime': 7, 'description': 'Four Corners/Geneva'}, {'id': 1, 'stations': ['14', '22', '28', '29', '45'], 'color': '#F5C00E', 'walktime': 3, 'description': 'Blue Hill Ave opp McLellan St'}]"
28,28,"[{'id': 0, 'stations': ['Red', 'Line'], 'color': '#EC211F', 'walktime': 8, 'description': 'Porter'}, {'id': 1, 'stations': ['Fitchburg', 'Line'], 'color': '#B933AD', 'walktime': 8, 'description': 'Porter'}, {'id': 2, 'stations': ['88', '89'], 'color': '#F5C00E', 'walktime': 2, 'description': 'Highland Ave @ Willow Ave'}, {'id': 3, 'stations': ['87', '88', '89', '90', '94', '96'], 'color': '#F5C00E', 'walktime': 10, 'description': 'Davis'}]"
29,29,"[{'id': 0, 'stations': ['80'], 'color': '#F5C00E', 'walktime': 1, 'description': 'Medford St @ Glenwood Rd'}, {'id': 1, 'stations': ['89', '89/93'], 'color': '#F5C00E', 'walktime': 5, 'description': 'Broadway @ Medford St - Magoun Sq'}, {'id': 2, 'stations': ['101'], 'color': '#F5C00E', 'walktime': 10, 'description': 'Main St @ Broadway'}]"
30,30,"[{'id': 0, 'stations': ['Red', 'Line'], 'color': '#DA1721', 'walktime': 6, 'description': 'JFK / UMass'}, {'id': 1, 'stations': ['Greenbush/Kingston'], 'color': '#8E44AD', 'walktime': 6, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['Middleborough/Lakeville'], 'color': '#8E44AD', 'walktime': 6, 'description': 'JFK / UMass'}, {'id': 3, 'stations': ['18'], 'color': '#F5C00E', 'walktime': 2, 'description': 'Dorchester Ave @ Edison Green'}]"
31,31,"[{'id': 0, 'stations': ['B'], 'color': '#00843D', 'walktime': 8, 'description': 'Harvard Avenue'}, {'id': 1, 'stations': ['Framingham/Worcester', 'Line'], 'color': '#8E44AD', 'walktime': 12, 'description': 'Boston Landing'}, {'id': 2, 'stations': ['64', '66', '501'], 'color': '#F5C00E', 'walktime': 2, 'description': 'Cambridge St @ Linden St'}]"
32,32,"[{'id': 0, 'stations': ['Framingham/Worcester'], 'color': '#8E44AD', 'walktime': 6, 'description': 'Auburndale'}, {'id': 1, 'stations': ['D'], 'color': '#00843D', 'walktime': 11, 'description': 'Riverside'}, {'id': 2, 'stations': ['558'], 'color': '#F5C00E', 'walktime': 11, 'description': 'Riverside'}, {'id': 3, 'stations': ['MBRS'], 'color': '#DA1721', 'walktime': 11, 'description': 'Riverside'}]"
33,33,"[{'id': 0, 'stations': ['Greenbush', 'Line', 'Kingston', 'Line', 'Middleborough/Lakeville', 'Line'], 'color': '#8E44AD', 'walktime': 11, 'description': 'JFK / UMass'}, {'id': 1, 'stations': ['Red', 'Line'], 'color': '#DA1721', 'walktime': 11, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['8', '16', '41'], 'color': '#F5C00E', 'walktime': 11, 'description': 'JFK / UMass'}]"
34,34,"[{'id': 0, 'stations': ['Fairmount', 'Line'], 'color': '#B933AD', 'walktime': 7, 'description': 'Four Corners/Geneva'}, {'id': 1, 'stations': ['14', '22', '28', '29', '45'], 'color': '#F5C00E', 'walktime': 3, 'description': 'Blue Hill Ave opp McLellan St'}, {'id': 2, 'stations': ['16'], 'color': '#F5C00E', 'walktime': 3, 'description': 'Old Rd @ Ellington St'}]"
35,35,"[{'id': 0, 'stations': ['Greenbush', 'Line', 'Kingston', 'Line', 'Middleborough/Lakeville', 'Line'], 'color': '#8E44AD', 'walktime': 11, 'description': 'JFK / UMass'}, {'id': 1, 'stations': ['Red', 'Line'], 'color': '#DA1721', 'walktime': 11, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['8', '16', '41'], 'color': '#F5C00E', 'walktime': 11, 'description': 'JFK / UMass'}]"
36,36,"[{'id': 0, 'stations': ['Fairmount', 'Line', 'Franklin', 'Line'], 'color': '#8E44AD', 'walktime': 9, 'description': 'Uphams Corner'}, {'id': 1, 'stations': ['Kingston', 'Line', 'Greenbush', 'Line', 'Middleborough/Lakeville', 'Line'], 'color': '#8E44AD', 'walktime': 12, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['Red', 'Line'], 'color': '#DA1721', 'walktime': 12, 'description': 'JFK / UMass'}, {'id': 3, 'stations': ['8', '', '16', '41', 'Red', 'Line', 'Shuttle'], 'color': '#F5C00E', 'walktime': 12, 'description': 'JFK / UMass'}]"
37,37,"[{'id': 0, 'stations': ['Greenbush', 'Line', 'Kingston', 'Line', 'Middleborough/Lakeville', 'Line'], 'color': '#8E44AD', 'walktime': 11, 'description': 'JFK / UMass'}, {'id': 1, 'stations': ['Red', 'Line'], 'color': '#DA1721', 'walktime': 11, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['8', '16', '41'], 'color': '#F5C00E', 'walktime': 11, 'description': 'JFK / UMass'}]"
38,38,"[{'id': 0, 'stations': ['Red', 'Line'], 'color': '#DA1721', 'walktime': 8, 'description': 'Andrew'}, {'id': 1, 'stations': ['Fairmount', 'Line', 'Franklin', 'Line'], 'color': '#8E44AD', 'walktime': 11, 'description': 'Newmarket'}, {'id': 2, 'stations': ['Greenbush', 'Kingston', 'Middleborough/Lakeville'], 'color': '#8E44AD', 'walktime': 14, 'description': 'JFK / UMass'}, {'id': 3, 'stations': ['8', '41', '16'], 'color': '#F5C00E', 'walktime': 14, 'description': 'JFK / UMass'}]"
39,39,"[{'id': 0, 'stations': ['Framingham/Worcester', 'Line'], 'color': '#8E44AD', 'walktime': 12, 'description': 'Boston Landing'}, {'id': 1, 'stations': ['64', '66', '501'], 'color': '#F5C00E', 'walktime': 1, 'description': 'Cambridge St @ Linden St'}, {'id': 2, 'stations': ['57'], 'color': '#F5C00E', 'walktime': 4, 'description': 'Brighton Ave @ Linden St'}]"
40,40,"[{'id': 0, 'stations': ['Red', 'Line'], 'color': '#DA1721', 'walktime': 8, 'description': 'Andrew'}, {'id': 1, 'stations': ['Fairmount', 'Line', 'Franklin', 'Line'], 'color': '#8E44AD', 'walktime': 11, 'description': 'Newmarket'}, {'id': 2, 'stations': ['Greenbush', 'Kingston', 'Middleborough/Lakeville'], 'color': '#8E44AD', 'walktime': 14, 'description': 'JFK / UMass'}, {'id': 3, 'stations': ['8', '41', '16'], 'color': '#F5C00E', 'walktime': 14, 'description': 'JFK / UMass'}]"
41,41,"[{'id': 0, 'stations': ['Red', 'Line'], 'color': '#EC211F', 'walktime': 8, 'description': 'Porter'}, {'id': 1, 'stations': ['Fitchburg', 'Line'], 'color': '#B933AD', 'walktime': 8, 'description': 'Porter'}, {'id': 2, 'stations': ['88', '89'], 'color': '#F5C00E', 'walktime': 2, 'description': 'Highland Ave @ Willow Ave'}, {'id': 3, 'stations': ['87', '88', '89', '90', '94', '96'], 'color': '#F5C00E', 'walktime': 10, 'description': 'Davis'}]"
42,42,"[{'id': 0, 'stations': ['Orange', 'Line'], 'color': '#EB841E', 'walktime': 8, 'description': 'Stony Brook'}, {'id': 1, 'stations': ['42'], 'color': '#F5C00E', 'walktime': 1, 'description': 'Washington St @ School St'}, {'id': 2, 'stations': ['22', '29', '44'], 'color': '#F5C00E', 'walktime': 2, 'description': 'Columbus Ave @ Weld Ave'}]"
43,43,"[{'id': 0, 'stations': ['Red', 'Line'], 'color': '#EC211F', 'walktime': 8, 'description': 'Porter'}, {'id': 1, 'stations': ['Fitchburg', 'Line'], 'color': '#B933AD', 'walktime': 8, 'description': 'Porter'}, {'id': 2, 'stations': ['88', '89'], 'color': '#F5C00E', 'walktime': 2, 'description': 'Highland Ave @ Willow Ave'}, {'id': 3, 'stations': ['87', '88', '89', '90', '94', '96'], 'color': '#F5C00E', 'walktime': 10, 'description': 'Davis'}]"
44,44,"[{'id': 0, 'stations': ['E'], 'color': '#00843D', 'walktime': 5, 'description': 'Fenwood Road'}, {'id': 1, 'stations': ['Orange', 'Line'], 'color': '#EB841E', 'walktime': 10, 'description': 'Roxbury Crossing'}, {'id': 2, 'stations': ['35', '39', '66'], 'color': '#F5C00E', 'walktime': 4, 'description': 'Huntington Ave opp Fenwood Rd'}]"
45,45,"[{'id': 0, 'stations': ['B'], 'color': '#00843D', 'walktime': 16, 'description': 'Boston College'}]"
46,46,"[{'id': 0, 'stations': ['B'], 'color': '#00843D', 'walktime': 8, 'description': 'Harvard Avenue'}, {'id': 1, 'stations': ['Framingham/Worcester'], 'color': '#8E44AD', 'walktime': 12, 'description': 'Boston Landing'}, {'id': 2, 'stations': ['64', '66', '501'], 'color': '#F5C00E', 'walktime': 2, 'description': 'Cambridge St @ Linden St'}]"
47,47,"[{'id': 0, 'stations': ['Fairmount/Franklin'], 'color': '#8E44AD', 'walktime': 8, 'description': 'Uphams Corner'}, {'id': 1, 'stations': ['Red', 'Line'], 'color': '#DA1721', 'walktime': 15, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['Greenbush/Kingston'], 'color': '#8E44AD', 'walktime': 15, 'description': 'JFK / UMass'}, {'id': 3, 'stations': ['Middleborough/Lakeville'], 'color': '#8E44AD', 'walktime': 15, 'description': 'JFK / UMass'}]"
48,48,"[{'id': 0, 'stations': ['Framingham/Worcester', 'Line'], 'color': '#8E44AD', 'walktime': 12, 'description': 'Boston Landing'}, {'id': 1, 'stations': ['64', '66', '501'], 'color': '#F5C00E', 'walktime': 1, 'description': 'Cambridge St @ Linden St'}, {'id': 2, 'stations': ['57'], 'color': '#F5C00E', 'walktime': 4, 'description': 'Brighton Ave @ Linden St'}]"
49,49,"[{'id': 0, 'stations': ['B'], 'color': '#018835', 'walktime': 14, 'description': 'Warren Street'}, {'id': 1, 'stations': ['51', '57', '66'], 'color': '#F5C00E', 'walktime': 5, 'description': 'Market St @ Keenan Rd'}, {'id': 2, 'stations': ['86'], 'color': '#F5C00E', 'walktime': 6, 'description': 'Cambridge St @ Dustin St'}]"
50,50,"[{'id': 0, 'stations': ['E'], 'color': '#00843D', 'walktime': 5, 'description': 'Fenwood Road'}, {'id': 1, 'stations': ['Orange', 'Line'], 'color': '#EB841E', 'walktime': 10, 'description': 'Roxbury Crossing'}, {'id': 2, 'stations': ['35', '39', '66'], 'color': '#F5C00E', 'walktime': 4, 'description': 'Huntington Ave opp Fenwood Rd'}]"
51,51,"[{'id': 0, 'stations': ['B'], 'color': '#018835', 'walktime': 14, 'description': 'Warren Street'}, {'id': 1, 'stations': ['51', '57', '66'], 'color': '#F5C00E', 'walktime': 5, 'description': 'Market St @ Keenan Rd'}, {'id': 2, 'stations': ['86'], 'color': '#F5C00E', 'walktime': 6, 'description': 'Cambridge St @ Dustin St'}]"
52,52,"[{'id': 0, 'stations': ['Orange', 'Line'], 'color': '#EB841E', 'walktime': 8, 'description': 'Jackson Square'}, {'id': 1, 'stations': ['E'], 'color': '#00843D', 'walktime': 9, 'description': 'Health Street'}]"
53,53,"[{'id': 0, 'stations': ['Red', 'Line'], 'color': '#DA1721', 'walktime': 8, 'description': 'Andrew'}, {'id': 1, 'stations': ['Fairmount', 'Line', 'Franklin', 'Line'], 'color': '#8E44AD', 'walktime': 11, 'description': 'Newmarket'}, {'id': 2, 'stations': ['Greenbush', 'Kingston', 'Middleborough/Lakeville'], 'color': '#8E44AD', 'walktime': 14, 'description': 'JFK / UMass'}, {'id': 3, 'stations': ['8', '41', '16'], 'color': '#F5C00E', 'walktime': 14, 'description': 'JFK / UMass'}]"
54,54,"[{'id': 0, 'stations': ['Red', 'line'], 'color': '#EC211F', 'walktime': 3, 'description': 'JFK / UMass'}, {'id': 1, 'stations': ['Greenbush', 'Kingston'], 'color': '#B933AD', 'walktime': 3, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['Middleborough/Lakeville'], 'color': '#B933AD', 'walktime': 3, 'description': 'JFK / UMass'}, {'id': 3, 'stations': ['8', '16', '41'], 'color': '#F5C00E', 'walktime': 3, 'description': 'JFK / UMass'}]"
55,55,"[{'id': 0, 'stations': ['Framingham/Worcester'], 'color': '#8E44AD', 'walktime': 6, 'description': 'Auburndale'}, {'id': 1, 'stations': ['D'], 'color': '#00843D', 'walktime': 11, 'description': 'Riverside'}, {'id': 2, 'stations': ['558'], 'color': '#F5C00E', 'walktime': 11, 'description': 'Riverside'}, {'id': 3, 'stations': ['MBRS'], 'color': '#DA1721', 'walktime': 11, 'description': 'Riverside'}]"
56,56,"[{'id': 0, 'stations': ['Red', 'Line'], 'color': '#DA1721', 'walktime': 10, 'description': 'JFK / UMass'}, {'id': 1, 'stations': ['Kingston/Greenbush'], 'color': '#8E44AD', 'walktime': 10, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['Middleborough/Lakeville'], 'color': '#8E44AD', 'walktime': 10, 'description': 'JFK / UMass'}, {'id': 3, 'stations': ['8', '16', '41'], 'color': '#EB841E', 'walktime': 10, 'description': 'JFK / UMass'}]"
57,57,"[{'id': 0, 'stations': ['Fairmount', 'Line'], 'color': '#B933AD', 'walktime': 7, 'description': 'Four Corners/Geneva'}, {'id': 1, 'stations': ['14', '22', '28', '29', '45'], 'color': '#F5C00E', 'walktime': 3, 'description': 'Blue Hill Ave opp McLellan St'}, {'id': 2, 'stations': ['16'], 'color': '#F5C00E', 'walktime': 3, 'description': 'Old Rd @ Ellington St'}]"
58,58,"[{'id': 0, 'stations': ['Fairmount', 'Line'], 'color': '#B933AD', 'walktime': 7, 'description': 'Four Corners/Geneva'}, {'id': 1, 'stations': ['14', '22', '28', '29', '45'], 'color': '#F5C00E', 'walktime': 3, 'description': 'Blue Hill Ave opp McLellan St'}, {'id': 2, 'stations': ['16'], 'color': '#F5C00E', 'walktime': 3, 'description': 'Old Rd @ Ellington St'}]"
59,59,"[{'id': 0, 'stations': ['Red', 'Line'], 'color': '#DA1721', 'walktime': 3, 'description': 'JFK / UMass'}, {'id': 1, 'stations': ['Greenbush/Kingston'], 'color': '#B933AD', 'walktime': 3, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['Lakeville', 'Line'], 'color': '#B933AD', 'walktime': 3, 'description': 'JFK / UMass'}]"
