id,Amenities
68,"Guarantors allowed"
68,"Laundry in home (free)"
68,"Dine in kitchen"
68,"Radiator heating"
68,Dishwasher
68,"Hardwood floors"
68,Microwave
68,Oven
68,Refrigerator
69,"Window AC (Common space)"
69,"Guarantors allowed"
69,"Radiator heating"
69,"Street parking"
69,"Laundry in building (paid)"
69,"32-inch Flat-Screen TV"
69,Dishwasher
69,Smoke-free
69,"WiFi (Paid)"
69,"Hardwood floors"
69,Oven
69,Refrigerator
70,"Street parking"
70,Smoke-free
70,"WiFi (Paid)"
70,"Guarantors allowed"
70,"Laundry in home (free)"
70,"Radiator heating"
70,"Hardwood floors"
70,Microwave
70,Oven
70,Refrigerator
71,"Street parking"
71,"Dine in kitchen"
71,HVAC
71,Smoke-free
71,"Guarantors allowed"
71,"Hardwood floors"
71,Oven
71,Refrigerator
72,"Radiator heating"
72,Dishwasher
72,Smoke-free
72,"Guarantors allowed"
72,"Paid parking"
72,"Laundry in building (free)"
72,"Living area"
72,"Hardwood floors"
72,Microwave
72,Oven
72,Refrigerator
73,"Street parking"
73,Smoke-free
73,"WiFi (Paid)"
73,"Guarantors allowed"
73,"Laundry in home (free)"
73,"Radiator heating"
73,"Hardwood floors"
73,Microwave
73,Oven
73,Refrigerator
74,"Street parking"
74,Smoke-free
74,"Guarantors allowed"
74,"Laundry in home (free)"
74,"Dine in kitchen"
74,"Radiator heating"
74,Dishwasher
74,"Hardwood floors"
74,Microwave
74,Oven
74,Refrigerator
75,"Window AC (Common space)"
75,"WiFi (Paid)"
75,"Guarantors allowed"
75,"Paid parking"
75,"Laundry in home (free)"
75,Dishwasher
75,HVAC
75,Smoke-free
75,"Hardwood floors"
75,Microwave
75,Oven
75,Refrigerator
76,"Central AC (Common space)"
76,Smoke-free
76,"WiFi (Paid)"
76,"Guarantors allowed"
76,"Paid parking"
76,"Decorative fireplace"
76,"32-inch Flat-Screen TV"
76,Dishwasher
76,HVAC
76,"Laundry in building (free)"
76,"Hardwood floors"
76,Oven
76,Refrigerator
77,"32-inch Flat-Screen TV"
77,"Radiator heating"
77,Dishwasher
77,Smoke-free
77,"WiFi (Paid)"
77,"Guarantors allowed"
77,"Laundry in home (free)"
77,"Outdoor space"
77,"Living area"
77,"Mini Split (Common space)"
77,"Hardwood floors"
77,Microwave
77,Oven
77,Refrigerator
78,"Central AC (Common space)"
78,"Guarantors allowed"
78,"Laundry in building (paid)"
78,"Central heating"
78,"32-inch Flat-Screen TV"
78,Dishwasher
78,Smoke-free
78,"WiFi (Paid)"
78,"Hardwood floors"
78,Oven
78,Refrigerator
79,"Street parking"
79,"WiFi (Paid)"
79,"Guarantors allowed"
79,"Laundry in building (paid)"
79,Dishwasher
79,"Electric heating"
79,Smoke-free
79,"Hardwood floors"
79,Oven
79,Refrigerator
80,"Window AC (Common space)"
80,"Guarantors allowed"
80,"Radiator heating"
80,"Street parking"
80,"Laundry in building (paid)"
80,"32-inch Flat-Screen TV"
80,Dishwasher
80,Smoke-free
80,"WiFi (Paid)"
80,"Hardwood floors"
80,Oven
80,Refrigerator
81,Dishwasher
81,"Dine in kitchen"
81,HVAC
81,Smoke-free
81,"Guarantors allowed"
81,"Laundry in building (paid)"
81,"Paid parking"
81,"Hardwood floors"
81,Microwave
81,Oven
81,Refrigerator
82,Smoke-free
82,"Dine in kitchen"
82,HVAC
82,"WiFi (Paid)"
82,"Laundry in building (paid)"
82,"Guarantors allowed"
82,"Hardwood floors"
82,Microwave
82,Oven
82,Refrigerator
83,"Dining area"
83,"Laundry in building (paid)"
83,Smoke-free
83,"WiFi (Paid)"
83,"Guarantors allowed"
83,HVAC
83,"Hardwood floors"
83,Microwave
83,Oven
83,Refrigerator
84,Dishwasher
84,"Smart lock"
84,"32-inch Flat-Screen TV"
84,"Laundry in building (paid)"
84,"Guarantors allowed"
84,"WiFi (Paid)"
84,"Window AC (Common space)"
84,"Radiator heating"
84,Smoke-free
84,"Dine in kitchen"
84,"Back porch"
84,"Driveway parking (paid)"
84,"Hardwood floors"
84,Oven
84,Refrigerator
85,"Street parking"
85,"WiFi (Paid)"
85,"Guarantors allowed"
85,"Electric heating"
85,"Laundry in building (paid)"
85,Dishwasher
85,Smoke-free
85,"Wall-Mounted TV"
85,"Hardwood floors"
85,Oven
85,Refrigerator
86,"WiFi (Paid)"
86,Dishwasher
86,"Smart lock"
86,Smoke-free
86,"Guarantors allowed"
86,"Laundry in building (paid)"
86,HVAC
86,"Wall-Mounted TV"
86,"Hardwood floors"
86,Oven
86,Refrigerator
87,"Street parking"
87,Smoke-free
87,"WiFi (Paid)"
87,"Guarantors allowed"
87,"Laundry in building (paid)"
87,"Radiator heating"
87,Dishwasher
87,"Hardwood floors"
87,Microwave
87,Oven
87,Refrigerator
88,"WiFi (Paid)"
88,Dishwasher
88,HVAC
88,"Guarantors allowed"
88,"Street parking"
88,"Laundry in home (free)"
88,Smoke-free
88,"Hardwood floors"
88,Microwave
88,Oven
88,Refrigerator
89,"Paid parking"
89,"Electric heating"
89,Smoke-free
89,"WiFi (Paid)"
89,"Guarantors allowed"
89,"Laundry in building (paid)"
89,"Hardwood floors"
89,Microwave
89,Oven
89,Refrigerator
90,Smoke-free
90,"Street parking"
90,"Laundry in building (paid)"
90,"Guarantors allowed"
90,Dishwasher
90,"WiFi (Paid)"
90,HVAC
90,"Wall-Mounted TV"
90,"Hardwood floors"
90,Oven
90,Refrigerator
91,"WiFi (Paid)"
91,Smoke-free
91,"Guarantors allowed"
91,"Gas heating"
91,"Street parking"
91,Balcony
91,"Wall-Mounted TV"
91,"Hardwood floors"
91,Microwave
91,Oven
91,Refrigerator
92,Dishwasher
92,"Dine in kitchen"
92,HVAC
92,Smoke-free
92,"Guarantors allowed"
92,"Laundry in building (paid)"
92,"Paid parking"
92,"Hardwood floors"
92,Microwave
92,Oven
92,Refrigerator
93,Smoke-free
93,"Dine in kitchen"
93,HVAC
93,"WiFi (Paid)"
93,"Paid parking"
93,"Laundry in building (paid)"
93,"Guarantors allowed"
93,"Hardwood floors"
93,Microwave
93,Oven
93,Refrigerator
94,"Laundry in home (free)"
94,Smoke-free
94,"WiFi (Paid)"
94,"Paid parking"
94,"Window AC (Common space)"
94,HVAC
94,"Hardwood floors"
94,Microwave
94,Oven
94,Refrigerator
95,Dishwasher
95,"Dine in kitchen"
95,HVAC
95,Smoke-free
95,"Guarantors allowed"
95,"Laundry in building (paid)"
95,"Paid parking"
95,"Hardwood floors"
95,Microwave
95,Oven
95,Refrigerator
96,Dishwasher
96,"Dine in kitchen"
96,HVAC
