id,Trans_id,stations,walktime,description
83,3,8,14,"JFK / UMass"
83,3,41,14,"JFK / UMass"
83,3,16,14,"JFK / UMass"
83,4,"Middleborough/Lakeville ",14,"JFK / UMass"
84,0,"B ",8,"Chiswick Road"
84,1,51,2,"Chestnut Hill Ave @ Wiltshire Rd"
84,1,86,2,"Chestnut Hill Ave @ Wiltshire Rd"
85,0,57,2,"Washington St @ Oak Square Ave"
85,0,501,2,"Washington St @ Oak Square Ave"
85,1,64,6,"Faneuil St @ Brooks St"
86,0,"B ",8,"Harvard Avenue"
86,1,64,1,"Cambridge Street"
86,1,66,1,"Cambridge Street"
86,1,501,1,"Cambridge Street"
87,0,"Framingham/Worcester Line ",10,"Boston Landing"
87,1,70,5,"Western Ave @ Litchfield St"
87,1,86,5,"Western Ave @ Litchfield St"
87,2,64,10,"Market St @ Guest St"
88,0,"Red Line ",10,"JFK / UMass"
88,1,"Kingston/Greenbush ",10,"JFK / UMass"
88,2,"Middleborough/Lakeville ",10,"JFK / UMass"
88,3,8,10,"JFK / UMass"
88,3,16,10,"JFK / UMass"
88,3,41,10,"JFK / UMass"
89,0,"D E ",15,"Union Square"
89,1,80,3,"Pearl St @ McGrath Hwy"
89,2,88,3,"Highland Ave @ Walnut St"
89,2,90,3,"Highland Ave @ Walnut St"
90,0,"Framingham/Worcester Line ",10,"Boston Landing"
90,1,70,5,"Western Ave @ Litchfield St"
90,1,86,5,"Western Ave @ Litchfield St"
90,2,64,10,"Market St @ Guest St"
91,0,23,1,"Washington St @ Columbia Rd"
91,1,16,1,"Columbia Rd @ Washington St"
91,1,19,1,"Columbia Rd @ Washington St"
91,2,"Franklin/Fairmount Line ",3,"Four Corners/Geneva"
92,0,"Red Line ",8,Porter
92,1,88,2,"Highland Ave @ Willow Ave"
92,1,89,2,"Highland Ave @ Willow Ave"
92,2,"Fitchburg Line ",8,Porter
92,3,87,10,Davis
92,3,88,10,Davis
92,3,89,10,Davis
92,3,90,10,Davis
92,3,94,10,Davis
92,3,96,10,Davis
93,0,80,1,"Medford St @ Glenwood Rd"
93,1,89,5,"Broadway @ Medford St - Magoun Sq"
93,1,89/93,5,"Broadway @ Medford St - Magoun Sq"
93,2,101,10,"Main St @ Broadway"
94,0,"Red Line ",6,"JFK / UMass"
94,1,"Greenbush/Kingston ",6,"JFK / UMass"
94,2,"Fairmount/Franklin ",15,"Uphams Corner"
94,3,8,6,"JFK / UMass"
94,3,16,6,"JFK / UMass"
94,3,41,6,"JFK / UMass"
95,0,"Red Line ",8,Porter
95,1,88,2,"Highland Ave @ Willow Ave"
95,1,89,2,"Highland Ave @ Willow Ave"
95,2,"Fitchburg Line ",8,Porter
95,3,87,10,Davis
95,3,88,10,Davis
95,3,89,10,Davis
95,3,90,10,Davis
95,3,94,10,Davis
95,3,96,10,Davis
96,0,"Red Line ",8,Porter
96,1,88,2,"Highland Ave @ Willow Ave"
96,1,89,2,"Highland Ave @ Willow Ave"
96,2,"Fitchburg Line ",8,Porter
96,3,87,10,Davis
96,3,88,10,Davis
96,3,89,10,Davis
96,3,90,10,Davis
